,OSEBuildingID,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),GHGEmissionsIntensity,ENERGYSTARScore,Electricity_Proportion(kBtu),SteamUse_Proportion(kBtu)
0,1,1927,1.0,12.0,88434.0,81.69999695,7226362.5,2.83,60.0,0.546059967657308,0.2773016353180203
1,2,1996,1.0,11.0,103566.0,94.80000305,8387933.0,2.86,61.0,0.2975693225058117,0.23030952084010625
2,3,1969,1.0,2.0,47237.0,96.0,2615247.75,2.19,43.0,0.4056560527600224,0.22364565198086306
3,5,1926,1.0,10.0,61320.0,110.8000031,6794584.0,4.67,56.0,0.40751932798821766,0.3259134767389891
4,8,1980,1.0,18.0,175580.0,114.8000031,14172606.0,2.88,75.0,0.2907340607117898,0.232490103575431
5,9,1999,1.0,2.0,97288.0,136.1000061,12086616.0,3.1,,0.48257456829090944,0.2087437127839714
6,10,1926,1.0,11.0,83008.0,70.80000305,5758795.0,2.12,27.0,0.3455172858842666,0.2922052499136903
7,11,1926,1.0,8.0,102761.0,61.29999924,6298131.5,2.16,,0.577418171948009,0.36142256817320634
8,12,1904,1.0,15.0,163984.0,83.69999695,13723820.0,2.39,43.0,0.4050593967670068,0.23828123531110904
11,17,1928,1.0,9.0,65009.0,101.5,6596057.5,5.05,48.0,0.2036064725027033,0.2511125016724005
13,19,1922,1.0,11.0,92190.0,159.5,10750010.0,5.55,35.0,0.3564991268147251,0.4531016926078065
15,22,1930,1.0,6.0,103911.0,76.59999847,9956396.0,4.18,,0.4473373923323958,0.46124599007743317
17,24,1907,1.0,5.0,57452.0,132.3999939,7606084.5,4.75,,0.4949710076658864,0.23352383489197323
18,25,1916,1.0,10.0,104352.0,97.30000305,10154608.0,3.35,39.0,0.5818412685157319,0.33786257431109107
21,29,2001,1.0,6.0,88592.0,63.20000076,3663534.5,1.02,84.0,0.4394737230652435,0.2895574517531072
22,30,1928,1.0,7.0,126593.0,90.69999695,11343686.0,3.07,,0.34018647238234656,0.1696633087207074
23,31,1930,1.0,2.0,67224.0,19.5,1310236.625,0.14,,0.7063302020082162,0.22347268292663533
24,32,1991,1.0,8.0,158676.0,45.5,5328051.5,1.62,,0.07191513434359981,0.3304859535709232
25,33,2001,1.0,10.0,171866.0,85.80000305,11061916.0,1.91,57.0,0.41934218643262733,0.1732363018889132
